Strategy,Gross Sharpe,Net Sharpe,Sharpe Lost,Ann. Turnover,Ann. Cost (bps),Net Ann. Return
Frictionless,0.6859939713835135,0.5659120640847678,0.12008190729874568,4.355561020581577,217.01375763727205,10.273526095140165
CostAware,0.6061251306925817,0.5314731798463876,0.07465195084619403,2.9866237840323504,142.14514288751383,10.022391988530105
MultiPeriod,0.5348783351360696,0.5204900145184214,0.014388320617648276,0.841696984749335,27.658443496858723,10.159074795439077
EqualWeight,0.3687687838600251,0.3670618561100662,0.0017069277499588975,0.12698555588609658,2.5600557318408352,5.485353070044208
